Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648641477636,35,103,64,15,54,35,82,52,481
1648641477646,41,91,60,22,62,33,83,53,478
1648641477656,53,89,69,26,55,37,95,53,474
1648641477666,42,94,57,22,55,28,71,50,480
1648641477676,59,90,56,31,58,32,64,57,480
1648641477686,59,108,56,22,59,39,68,49,473
1648641477696,46,96,61,26,63,21,69,45,473
1648641477706,42,100,66,19,61,31,87,50,482
1648641477716,38,97,66,17,53,31,59,48,469
1648641477726,49,93,53,26,49,23,79,52,480
1648641477736,47,98,68,30,55,28,65,41,483
1648641477746,51,95,70,28,61,25,97,58,483
1648641477756,51,101,67,12,59,33,78,52,474
1648641477766,49,103,62,20,56,34,68,57,478
1648641477776,51,100,59,25,57,28,89,48,472
1648641477786,47,104,68,27,49,35,90,48,475
1648641477796,49,95,58,23,54,25,80,47,477
1648641477806,38,93,69,27,61,35,58,48,484
1648641477816,50,108,55,23,55,28,76,50,482
1648641477826,52,93,63,14,61,29,88,53,481
1648641477836,47,85,47,25,60,28,70,44,479
1648641477846,40,100,59,25,64,36,89,55,482
1648641477856,50,97,67,37,58,28,79,51,482
1648641477866,49,96,70,10,51,26,71,52,469
1648641477876,51,93,55,23,52,27,83,51,482
1648641477886,43,89,62,29,67,25,75,50,481
1648641477896,53,109,62,24,58,29,88,55,482
1648641477906,41,94,65,31,67,27,84,54,478
1648641477916,46,105,68,29,51,27,77,51,481
1648641477926,45,105,59,24,56,27,80,48,488
1648641477936,35,97,62,29,53,26,83,46,471
1648641477946,48,101,70,19,65,26,82,51,489
1648641477956,38,91,54,20,60,28,85,53,481
1648641477966,56,110,65,23,53,37,72,53,488
1648641477976,48,103,61,23,67,30,80,49,490
1648641477986,40,100,64,26,50,27,82,58,479
1648641477996,48,103,52,17,57,27,88,46,481
1648641478006,42,96,58,33,63,22,80,46,479
1648641478016,48,117,65,22,58,29,84,50,463
1648641478026,46,98,57,32,57,33,68,42,467
1648641478036,49,86,56,28,61,28,73,45,476
1648641478046,52,88,66,20,50,19,63,52,478
1648641478056,56,102,65,33,57,29,79,46,481
1648641478066,44,115,65,17,59,29,79,48,479
1648641478076,46,86,65,29,59,31,78,44,477
1648641478086,40,104,69,23,45,25,68,55,481
1648641478096,47,98,59,25,61,29,77,49,476
1648641478106,51,103,59,21,57,30,78,54,475
1648641478116,53,114,67,14,58,34,103,50,481
1648641478126,36,80,70,27,55,32,66,57,481
1648641478136,54,96,73,23,46,35,69,48,486
